Date,001M,002M,003M,006M,009M,012M,018M,024M,036M,048M,060M,084M,120M,180M,240M,300M,360M
20100203,0.038535474,0.06811211,0.090898507,0.165096969,0.23837448,0.339264926,0.602198655,0.890404606,1.438245755,1.9490103,2.402209717,3.166735872,3.723352636,4.175604887,4.410198144,4.548436093,4.630620379
20100204,0.028160762,0.062269547,0.088739585,0.152794419,0.218803733,0.315695749,0.551614197,0.817300526,1.341830211,1.847201392,2.301718242,3.073401132,3.628465116,4.082421665,4.320657211,4.46147999,4.545325078
20100205,0.033041363,0.068460514,0.097640125,0.158325082,0.221740522,0.310666265,0.530836582,0.778569613,1.29112887,1.793794508,2.242049976,3.011120171,3.594089166,4.056564998,4.292694192,4.431847737,4.515042243
20100208,0.035011151,0.069931245,0.099014356,0.168872236,0.228242939,0.313690934,0.533126915,0.779662262,1.291809439,1.785538844,2.234422156,3.009419688,3.587602266,4.044705053,4.277666025,4.412887636,4.494511649
20100209,0.033110404,0.079477014,0.104361876,0.170668824,0.241133028,0.337420735,0.58106185,0.845284011,1.372407081,1.870023829,2.320678987,3.089855006,3.668709563,4.127342347,4.360703351,4.496810038,4.577588611
20100210,0.055200174,0.082112083,0.103135221,0.177169406,0.265159408,0.366102149,0.622299896,0.900255085,1.426863052,1.92382162,2.371087248,3.13305376,3.712431623,4.174653958,4.409554967,4.54686521,4.628772579
20100211,0.044710523,0.072519208,0.09780147,0.175075345,0.260231188,0.366902967,0.617289135,0.890882915,1.416211073,1.918422614,2.372382083,3.144051697,3.707203054,4.172744212,4.421028487,4.568382234,4.655312902
20100212,0.05048441,0.074661805,0.100238744,0.176423838,0.253666716,0.349522446,0.589688035,0.853760996,1.397518703,1.897195343,2.346637559,3.111330296,3.691197943,4.162931965,4.413327513,4.560439644,4.650188629
20100215,0.045154124,0.070509696,0.097080938,0.174586802,0.251783131,0.347731888,0.589021042,0.853780532,1.397518617,1.897195539,2.346637847,3.111314365,3.689386536,4.160802683,4.411717637,4.559287787,4.64925153
20100216,0.038564497,0.073066691,0.094987298,0.17223355,0.2451234,0.337477821,0.572178494,0.830394002,1.359049193,1.862293651,2.315821505,3.082744267,3.655984448,4.131288699,4.38812713,4.541257335,4.632452678
20100217,0.045102131,0.068087974,0.090658464,0.180222729,0.256183702,0.351388146,0.600082137,0.881543274,1.427135353,1.939530598,2.399658489,3.176542264,3.726072108,4.194119946,4.450590597,4.604142339,4.695908327
20100218,0.068505708,0.08804702,0.11095195,0.200400601,0.290862625,0.407178714,0.670426301,0.962037436,1.511138506,2.028209507,2.486899633,3.251276246,3.794091417,4.24891721,4.493950987,4.640316532,4.728165338
20100219,0.070029986,0.08303918,0.10793159,0.194291524,0.276006309,0.38359819,0.662685443,0.953076674,1.504880065,2.018557863,2.469927798,3.235109925,3.770009499,4.219378728,4.464614896,4.612530369,4.701065748
20100222,0.05325154,0.06918264,0.094381336,0.183818316,0.257701813,0.3588835,0.631491295,0.922854218,1.496069732,2.006442481,2.46250587,3.243556241,3.791213101,4.245743454,4.491025613,4.6361911,4.723899491
20100223,0.066653979,0.094300341,0.112453856,0.188609839,0.256553567,0.348210588,0.592858204,0.866181366,1.424852091,1.918071373,2.363698232,3.13381339,3.682660503,4.142287888,4.392168136,4.54156096,4.630528111
20100224,0.078114838,0.097745738,0.113534337,0.179387661,0.241541424,0.328851545,0.574591986,0.857002798,1.418623848,1.92507675,2.374816111,3.142990012,3.690317932,4.150029831,4.398525443,4.54727762,4.636503581
20100225,0.081982972,0.10117628,0.119358467,0.180139884,0.228273062,0.312598231,0.54574756,0.81778564,1.366300112,1.868789981,2.316613844,3.071231176,3.634392253,4.097666117,4.343510441,4.489515676,4.577899312
20100226,0.094680405,0.112498774,0.12674164,0.191228721,0.239498157,0.321679898,0.559864986,0.81736038,1.354209839,1.86009239,2.303668942,3.052794099,3.61859493,4.080938249,4.326188459,4.47283404,4.561512108
